Timeline,Start_time,Duration,Athlete,Trick_number,Amplitude,Side,Run_rating,Feature_list,Combo_list,Competition_run,Speed_rating,Score,Trick_speed_rating,Start,Trick_rating_list,Trick_list
Men Final - Sao Paulo 2019 - Park skateboarding,3704.955011,3.051433333,Francisco Trick,5,3ft,BS,,Hip,,,,,Aggressive,,Clean,Backside Air
Men Final - Sao Paulo 2019 - Park skateboarding,3707.006444,4.893555556,Francisco Trick,6,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Tailslide"
Men Final - Sao Paulo 2019 - Park skateboarding,3710.9,4.238077778,Francisco Trick,7,3ft,BS,Bail,Big Quarter,,,Aggressive,45,Aggressive,,Sketchy,Heelflip
Men Final - Sao Paulo 2019 - Park skateboarding,4492.495844,6.071222222,Francisco Trick,8,5ft,FS,,Love Seat,,"Final, Run 2",,,Aggressive,"Drop In, Vert Wall",Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,4497.567067,3.455088889,Francisco Trick,9,6ft+,FS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Clean,Frontside Air
Men Final - Sao Paulo 2019 - Park skateboarding,4500.022156,6.881011111,Francisco Trick,10,6ft+,FS,,Flat Bank,,,,,Aggressive,,Benchmark,Boneless
Men Final - Sao Paulo 2019 - Park skateboarding,4505.903167,5.292033333,Francisco Trick,11,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,4510.1952,3.000633333,Francisco Trick,12,3ft,BS,,Hip,,,,,Aggressive,,Clean,Backside Air
Men Final - Sao Paulo 2019 - Park skateboarding,4512.195833,5.204166667,Francisco Trick,13,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Sketchy,"Ollie, Tailslide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4516.4,6.662888889,Francisco Trick,14,6ft+,FS,,Love Seat,,,,,Aggressive,,Benchmark,5-0 Stand Up
Men Final - Sao Paulo 2019 - Park skateboarding,4522.062889,3.3993,Francisco Trick,15,4ft,BS,,Ski Jump,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4524.462189,3.946233333,Francisco Trick,16,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Clean,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,4527.408422,8.189133333,Francisco Trick,17,3ft,BS,Bail,"Hip Transfer, Flat Bank",Feature Combo,,Aggressive,77.17,Aggressive,,Sketchy,"Ollie, Tailslide"
Men Final - Sao Paulo 2019 - Park skateboarding,5722.315233,7.2933,Francisco Trick,18,6ft+,FS,,Love Seat,,"Final, Run 3",,,Aggressive,"Drop In, Vert Wall",Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,5728.608533,3.154966667,Francisco Trick,19,6ft+,FS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Benchmark,Frontside Air
Men Final - Sao Paulo 2019 - Park skateboarding,5730.7635,2.9533,Francisco Trick,20,2ft,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Lip Slide
Men Final - Sao Paulo 2019 - Park skateboarding,5732.7168,5.045844444,Francisco Trick,21,6ft+,FS,,Flat Bank,,,,,Aggressive,,Benchmark,Boneless
Men Final - Sao Paulo 2019 - Park skateboarding,5736.762644,5.391088889,Francisco Trick,22,4ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,5741.153733,2.901,Francisco Trick,23,3ft,BS,,Hip,,,,,Aggressive,,Clean,Backside Air
Men Final - Sao Paulo 2019 - Park skateboarding,5743.054733,5.113322222,Francisco Trick,24,4ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Tailslide"
Men Final - Sao Paulo 2019 - Park skateboarding,5747.168056,3.280666667,Francisco Trick,25,4ft,BS,,Big Quarter,,,,,Flow,,Clean,"Heelflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,5749.448722,4.625540911,Francisco Trick,26,5ft,BS,,Love Seat,,,,,Aggressive,,Clean,5-0 Stand Up
Men Final - Sao Paulo 2019 - Park skateboarding,5753.074263,3.540281311,Francisco Trick,27,5ft,BS,,Ski Jump,,,,,Aggressive,,Benchmark,"Kickflip, Indy"
Men Final - Sao Paulo 2019 - Park skateboarding,5755.614544,3.7512204,Francisco Trick,28,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Clean,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,5758.365765,7.4843796,Francisco Trick,29,5ft,BS,,6ft Transition,,,,,Aggressive,,Benchmark,"5-0 Stand Up, Fakie"
Men Final - Sao Paulo 2019 - Park skateboarding,5764.850144,3.814455556,Francisco Trick,30,,BS,Bail,Tomb Stone,,,Aggressive,83.5,Slow,,Sketchy,"Cab, Disaster, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6633.500067,6.673644444,Francisco Trick,31,5ft,FS,,Love Seat,,"Final, Run 4",,,Aggressive,"Drop In, Vert Wall",Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,6639.173711,3.181211111,Francisco Trick,32,6ft+,FS,,"Hip Transfer, Corners",Feature Combo,,,,Aggressive,,Benchmark,Frontside Air
Men Final - Sao Paulo 2019 - Park skateboarding,6641.354922,7.153511111,Francisco Trick,33,6ft+,FS,,Flat Bank,,,,,Aggressive,,Benchmark,Boneless
Men Final - Sao Paulo 2019 - Park skateboarding,6647.508433,4.955311111,Francisco Trick,34,4ft,BS,,Deep End,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,6651.463744,2.995122222,Francisco Trick,35,3ft,BS,,Hip,,,,,Aggressive,,Clean,Backside Air
Men Final - Sao Paulo 2019 - Park skateboarding,6653.458867,4.943433333,Francisco Trick,36,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Clean,"Ollie, Tailslide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6657.4023,3.1647,Francisco Trick,37,3ft,BS,,Big Quarter,,,,,Flow,,Clean,Heelflip
Men Final - Sao Paulo 2019 - Park skateboarding,6659.567,4.702,Francisco Trick,38,6ft+,FS,,Love Seat,,,,,Aggressive,,Benchmark,5-0 Stand Up
Men Final - Sao Paulo 2019 - Park skateboarding,6663.269,3.352533333,Francisco Trick,39,4ft,BS,,Ski Jump,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6665.621533,4.046564364,Francisco Trick,40,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Clean,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,6668.668098,7.69451636,Francisco Trick,41,5ft,BS,,6ft Transition,,,,,,,Clean,"5-0 Stand Up, Fakie"
Men Final - Sao Paulo 2019 - Park skateboarding,6675.362614,3.20231302,Francisco Trick,42,1ft,BS,,Tomb Stone,,,,,Flow,,Sketchy,"Cab, Disaster, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6677.564927,3.054006256,Francisco Trick,43,1ft,FS,,6ft Transition,,,,,Flow,,Clean,5-0 
Men Final - Sao Paulo 2019 - Park skateboarding,6679.618933,5.326411111,Francisco Trick,44,,,Outstanding,,,,Aggressive,85.5,,,,
Men Final - Sao Paulo 2019 - Park skateboarding,3488.353528,6.503016349,Hiroshi Trick,1,5ft,FS,,Love Seat,,"Final, Run 1",,,Aggressive,"Drop In, Vert Wall",Benchmark,Nose Grind
Men Final - Sao Paulo 2019 - Park skateboarding,3493.856544,5.242555556,Hiroshi Trick,2,6ft+,BS,,Corners,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,3498.0991,4.651644444,Hiroshi Trick,3,4ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,3501.750744,4.282255556,Hiroshi Trick,4,4ft,BS,,Hip,,,,,Aggressive,,Benchmark,"Indy, Kickflip, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3505.033,5.416,Hiroshi Trick,5,2ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Clean,"Ollie, Feeble, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3509.449,3.310888889,Hiroshi Trick,6,,BS,,Big Quarter,,,,,Technical,,Benchmark,Eggplant
Men Final - Sao Paulo 2019 - Park skateboarding,3511.759889,4.473111111,Hiroshi Trick,7,3ft,BS,,6ft Transition,,,,,Flow,,Clean,"Bodyjar, Alley Oop"
Men Final - Sao Paulo 2019 - Park skateboarding,3515.233,4.602066667,Hiroshi Trick,8,2ft,FS,,"Hip Transfer, Big Quarter",Feature Combo,,,,Flow,,Clean,"Ollie, Tailslide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3518.835067,3.431211111,Hiroshi Trick,9,3ft,FS,,"Flat Bank, Rail, High to Low Transfer",Feature Combo,,,,Technical,,Clean,5-0 Stand Up
Men Final - Sao Paulo 2019 - Park skateboarding,3521.266278,3.00222015,Hiroshi Trick,10,2ft,BS,,Tomb Stone,,,,,Flow,,Clean,Lein Tail
Men Final - Sao Paulo 2019 - Park skateboarding,3523.268498,3.831502072,Hiroshi Trick,11,4ft,BS,,Hip,,,,,Aggressive,,Sketchy,"Indy, Alley Oop"
Men Final - Sao Paulo 2019 - Park skateboarding,3526.1,4.910344444,Hiroshi Trick,12,,,Bail,,,,Aggressive,72,,,,
Men Final - Sao Paulo 2019 - Park skateboarding,4294.925578,7.427388889,Hiroshi Trick,13,5ft,FS,,Love Seat,,"Final, Run 2",,,Aggressive,"Drop In, Vert Wall",Benchmark,Nose Grind
Men Final - Sao Paulo 2019 - Park skateboarding,4301.352967,4.946055556,Hiroshi Trick,14,6ft+,BS,,Corners,,,,,Flow,,Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,4305.299022,4.751477778,Hiroshi Trick,15,4ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,4309.0505,4.382011111,Hiroshi Trick,16,4ft,BS,,Hip,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4312.432511,5.267466667,Hiroshi Trick,17,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Ollie, Feeble, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4316.699978,3.459344444,Hiroshi Trick,18,,BS,,Big Quarter,,,,,Aggressive,,Benchmark,Eggplant
Men Final - Sao Paulo 2019 - Park skateboarding,4319.159322,4.480222222,Hiroshi Trick,19,3ft,BS,,6ft Transition,,,,,Flow,,Clean,Bodyjar
Men Final - Sao Paulo 2019 - Park skateboarding,4322.639544,4.423122222,Hiroshi Trick,20,2ft,FS,,"Hip Transfer, Big Quarter",Feature Combo,,,,Flow,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,4326.062667,3.527255556,Hiroshi Trick,21,3ft,FS,,"Flat Bank, High to Low Transfer, 6ft Transition",Feature Combo,,,,Flow,,Clean,50-50
Men Final - Sao Paulo 2019 - Park skateboarding,4328.589922,2.974333333,Hiroshi Trick,22,2ft,BS,,Tomb Stone,,,,,Flow,,Clean,Lein Tail
Men Final - Sao Paulo 2019 - Park skateboarding,4330.564256,4.908888889,Hiroshi Trick,23,4ft,BS,Bail,Hip,,,Flow,76.33,Flow,,Sketchy,"Indy, Alley Oop"
Men Final - Sao Paulo 2019 - Park skateboarding,5536.267389,6.468877778,Hiroshi Trick,24,5ft,FS,,Love Seat,,"Final, Run 3",,,Aggressive,"Drop In, Vert Wall",Benchmark,Nose Grind
Men Final - Sao Paulo 2019 - Park skateboarding,5541.736267,4.972855556,Hiroshi Trick,25,6ft+,BS,,Corners,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,5545.709122,4.560583494,Hiroshi Trick,26,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,5549.269706,4.582660951,Hiroshi Trick,27,4ft,BS,,Hip,,,,,Aggressive,,Benchmark,"Kickflip, Indy"
Men Final - Sao Paulo 2019 - Park skateboarding,5552.852367,4.915533333,Hiroshi Trick,28,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Ollie, Feeble, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,5556.7679,3.344566667,Hiroshi Trick,29,,BS,,Big Quarter,,,,,Flow,,Clean,Eggplant
Men Final - Sao Paulo 2019 - Park skateboarding,5559.112467,4.647011111,Hiroshi Trick,30,3ft,BS,,6ft Transition,,,,,Flow,,Clean,Bodyjar
Men Final - Sao Paulo 2019 - Park skateboarding,5562.759478,4.343022222,Hiroshi Trick,31,3ft,FS,,"Hip Transfer, Big Quarter",Feature Combo,,,,Flow,,Clean,"Ollie, Tailslide"
Men Final - Sao Paulo 2019 - Park skateboarding,5566.1025,3.5089,Hiroshi Trick,32,3ft,FS,,"Flat Bank, Rail, High to Low Transfer",Feature Combo,,,,Technical,,Clean,50-50
Men Final - Sao Paulo 2019 - Park skateboarding,5568.6114,2.856647236,Hiroshi Trick,33,2ft,BS,,Tomb Stone,,,,,Flow,,Clean,"Lein Tail, Tail Transfer, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,5570.468047,4.19768308,Hiroshi Trick,34,4ft,FS,,Hip,,,,,Flow,,Clean,Lein Air
Men Final - Sao Paulo 2019 - Park skateboarding,5573.66573,5.95022524,Hiroshi Trick,35,3ft,BS,Bail,Deep Bowl Wall,,,Flow,68,Flow,,Sketchy,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,6370.935344,6.406811111,Hiroshi Trick,36,5ft,FS,,Love Seat,,"Final, Run 4",,,Aggressive,"Drop In, Vert Wall",Benchmark,Nose Grind
Men Final - Sao Paulo 2019 - Park skateboarding,6376.342156,4.918077778,Hiroshi Trick,37,5ft,BS,,Corners,,,,,Aggressive,,Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,6380.260233,4.597766667,Hiroshi Trick,38,3ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,6383.858,4.344388889,Hiroshi Trick,39,3ft,BS,,Hip,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6387.202389,5.432188889,Hiroshi Trick,40,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Ollie, Feeble, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6391.634578,3.3212,Hiroshi Trick,41,,BS,,Big Quarter,,,,,Flow,,Benchmark,Eggplant
Men Final - Sao Paulo 2019 - Park skateboarding,6393.955778,4.397633333,Hiroshi Trick,42,3ft,BS,,6ft Transition,,,,,Aggressive,,Benchmark,"Bodyjar, Alley Oop"
Men Final - Sao Paulo 2019 - Park skateboarding,6397.353411,6.779588889,Hiroshi Trick,43,3ft,FS,,"Flat Bank, High to Low Transfer, Hip",Feature Combo,,,,Flow,,Clean,5-0 
Men Final - Sao Paulo 2019 - Park skateboarding,6403.133,3.581877778,Hiroshi Trick,44,2ft,BS,,Tomb Stone,,,,,Flow,,Clean,Tail Transfer
Men Final - Sao Paulo 2019 - Park skateboarding,6405.714878,3.685744444,Hiroshi Trick,45,5ft,FS,,Hip,,,,,Aggressive,,Clean,Lein Air
Men Final - Sao Paulo 2019 - Park skateboarding,6408.400622,4.912566667,Hiroshi Trick,46,3ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,6412.313189,1,Hiroshi Trick,47,,,Outstanding,,,,Aggressive,83.7,,,,
Men Final - Sao Paulo 2019 - Park skateboarding,3938.149522,7.524733333,Palmer Trick,1,4ft,FS,,Love Seat,,"Final, Run 1",,,Aggressive,"Roll In, 6ft Transition",Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,3944.674256,3.093577778,Palmer Trick,2,4ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide"
Men Final - Sao Paulo 2019 - Park skateboarding,3946.767833,2.952355556,Palmer Trick,3,4ft,FS,,,,,,,Flow,,Clean,"Lein Air, Judo, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3948.720189,4.501566667,Palmer Trick,4,4ft,BS,,Love Seat,,,,,Flow,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,3952.221756,3.423855556,Palmer Trick,5,5ft,BS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Clean,Indy
Men Final - Sao Paulo 2019 - Park skateboarding,3954.645611,5.457411111,Palmer Trick,6,5ft,BS,Bail,Deep Bowl Wall,,,Flow,35.5,Aggressive,,Sketchy,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,4859.615056,6.699288889,Palmer Trick,7,5ft,FS,,Love Seat,,"Final, Run 2",,,Flow,"Roll In, 6ft Transition",Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,4865.314344,3.139588889,Palmer Trick,8,3ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4867.453933,3.299433333,Palmer Trick,9,4ft,FS,,Big Quarter,,,,,Flow,,Clean,"Judo, Lein Tail, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4869.753367,4.547022222,Palmer Trick,10,5ft,BS,,Love Seat,,,,,Flow,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,4873.300389,3.245244444,Palmer Trick,11,6ft+,BS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Benchmark,Indy
Men Final - Sao Paulo 2019 - Park skateboarding,4875.545633,5.198688889,Palmer Trick,12,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,4879.744322,4.040333333,Palmer Trick,13,4ft,FS,,Hip,,,,,Flow,,Clean,Lein Air
Men Final - Sao Paulo 2019 - Park skateboarding,4882.784656,4.888166667,Palmer Trick,14,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Indy, Alley Oop"
Men Final - Sao Paulo 2019 - Park skateboarding,4886.672822,3.710666667,Palmer Trick,15,1ft,FS,,Big Quarter,,,,,Aggressive,,Benchmark,Nose Blunt
Men Final - Sao Paulo 2019 - Park skateboarding,4889.383489,5.5257,Palmer Trick,16,2ft,FS,,"Hip Transfer, Tomb Stone",Feature Combo,,,,Flow,,Clean,Ollie
Men Final - Sao Paulo 2019 - Park skateboarding,4893.909189,4.471866667,Palmer Trick,17,3ft,FS,,Corners,,,,,Flow,,Clean,Feeble
Men Final - Sao Paulo 2019 - Park skateboarding,4897.381056,3.823511111,Palmer Trick,18,5ft,FS,Bail,Ski Jump Hip,,,Flow,73,Flow,,Sketchy,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6029.367578,7.404488889,Palmer Trick,19,5ft,FS,,Love Seat,,"Final, Run 3",,,Aggressive,"Roll In, 6ft Transition",Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,6035.772067,3.020355556,Palmer Trick,20,6ft+,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6037.792422,3.340577778,Palmer Trick,21,5ft,FS,,Big Quarter,,,,,Aggressive,,Benchmark,"Judo, Lein Tail, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6040.133,4.601422222,Palmer Trick,22,5ft,BS,,Love Seat,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,6043.734422,3.132577778,Palmer Trick,23,6ft+,BS,,"Hip Transfer, 6ft Transition",Feature Combo,,,,Aggressive,,Benchmark,Indy
Men Final - Sao Paulo 2019 - Park skateboarding,6045.867,4.998422222,Palmer Trick,24,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,6049.865422,4.656111111,Palmer Trick,25,4ft,FS,,Hip,,,,,Aggressive,,Clean,Lein Air
Men Final - Sao Paulo 2019 - Park skateboarding,6053.521533,4.966555556,Palmer Trick,26,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Alley Oop, Indy"
Men Final - Sao Paulo 2019 - Park skateboarding,6057.488089,3.708833333,Palmer Trick,27,1ft,FS,,Big Quarter,,,,,Aggressive,,Benchmark,Nose Blunt
Men Final - Sao Paulo 2019 - Park skateboarding,6060.196922,5.659133333,Palmer Trick,28,2ft,FS,,"Hip Transfer, Tomb Stone",Feature Combo,,,,Flow,,Clean,Ollie
Men Final - Sao Paulo 2019 - Park skateboarding,6064.856056,4.477744444,Palmer Trick,29,3ft,FS,,Corners,,,,,Flow,,Clean,Feeble
Men Final - Sao Paulo 2019 - Park skateboarding,6068.3338,3.561244444,Palmer Trick,30,4ft,FS,,Ski Jump Hip,,,,,Flow,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6070.895044,3.460344444,Palmer Trick,31,3ft,FS,,Deep Bowl Wall,,,,,Flow,,Clean,Lip Slide
Men Final - Sao Paulo 2019 - Park skateboarding,6073.355389,4.440311111,Palmer Trick,32,4ft,FS,,Hip,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Fakie, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,6076.7957,4.762422222,Palmer Trick,33,,,Outstanding,,,,Aggressive,84.7,,,,
Men Final - Sao Paulo 2019 - Park skateboarding,7084.624767,6.105522222,Palmer Trick,34,5ft,FS,,Love Seat,,"Final, Run 4",,,Aggressive,"Roll In, 6ft Transition",Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,7089.730289,3.030233333,Palmer Trick,35,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,7091.760522,3.305191818,Palmer Trick,36,4ft,FS,,Big Quarter,,,,,Flow,,Clean,"Lein Tail, Judo, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,7094.065714,4.546063738,Palmer Trick,37,6ft+,BS,,Love Seat,,,,,Aggressive,,Benchmark,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,7097.611778,3.207511111,Palmer Trick,38,6ft+,BS,,"Hip Transfer, Corners",Feature Combo,,,,Aggressive,,Benchmark,Indy
Men Final - Sao Paulo 2019 - Park skateboarding,7099.819289,5.023488889,Palmer Trick,39,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men Final - Sao Paulo 2019 - Park skateboarding,7103.842778,4.378477778,Palmer Trick,40,4ft,FS,,Hip,,,,,Flow,,Clean,Frontside Air
Men Final - Sao Paulo 2019 - Park skateboarding,7107.221256,4.820322222,Palmer Trick,41,4ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Alley Oop, Stalefish"
Men Final - Sao Paulo 2019 - Park skateboarding,7111.041578,3.401466667,Palmer Trick,42,1ft,FS,,Big Quarter,,,,,Technical,,Benchmark,Nose Blunt
Men Final - Sao Paulo 2019 - Park skateboarding,7113.443044,5.758611111,Palmer Trick,43,2ft,FS,,Tomb Stone,,,,,Technical,,Clean,Ollie
Men Final - Sao Paulo 2019 - Park skateboarding,7118.201656,4.447311111,Palmer Trick,44,3ft,FS,,Corners,,,,,Flow,,Clean,Feeble
Men Final - Sao Paulo 2019 - Park skateboarding,7121.648967,3.901477778,Palmer Trick,45,3ft,BS,Bail,Ski Jump Hip,,,Flow,70,Slow,,Sketchy,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3581.967389,5.922844444,Quintas Trick,1,6ft+,FS,,Love Seat,,"Final, Run 1",,,Aggressive,"Drop In, Vert Wall",Clean,"Lip Slide, Smith"
Men Final - Sao Paulo 2019 - Park skateboarding,3586.890233,3.094122222,Quintas Trick,2,6ft+,FS,,"Hip Transfer, Deep End",Feature Combo,,,,Aggressive,,Benchmark,Stalefish
Men Final - Sao Paulo 2019 - Park skateboarding,3588.984356,3.005955556,Quintas Trick,3,3ft,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Tailslide
Men Final - Sao Paulo 2019 - Park skateboarding,3590.990311,3.662711111,Quintas Trick,4,5ft,FS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Clean,Frontside Air
Men Final - Sao Paulo 2019 - Park skateboarding,3593.653022,3.449277778,Quintas Trick,5,3ft,FS,,Flat Bank,,,,,Aggressive,,Clean,Boneless
Men Final - Sao Paulo 2019 - Park skateboarding,3596.1023,5.2647,Quintas Trick,6,4ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,"Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3600.367,4.266,Quintas Trick,7,4ft,BS,,Hip,,,,,Aggressive,,Clean,540 Nose Grab
Men Final - Sao Paulo 2019 - Park skateboarding,3603.633,5.221188889,Quintas Trick,8,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Clean,"Ollie, Lip Slide"
Men Final - Sao Paulo 2019 - Park skateboarding,3607.854189,3.058777778,Quintas Trick,9,2ft,BS,,Big Quarter,,,,,Flow,,Clean,"Backside Air, Disaster, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3609.912967,4.6974,Quintas Trick,10,3ft,FS,,"Hip Transfer, Love Seat",Feature Combo,,,,Aggressive,,Clean,"Ollie, Tailslide"
Men Final - Sao Paulo 2019 - Park skateboarding,3613.610367,4.863314764,Quintas Trick,11,5ft,BS,,Corners,,,,,Aggressive,,Clean,Feeble
Men Final - Sao Paulo 2019 - Park skateboarding,3617.473681,4.881429933,Quintas Trick,12,4ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,Smith
Men Final - Sao Paulo 2019 - Park skateboarding,3621.355111,4.485044192,Quintas Trick,13,4ft,BS,,Hip,,,,,Aggressive,,Clean,"Varial Kickflip, Indy, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,3624.840156,5.760877778,Quintas Trick,14,1ft,Revert,,6ft Transition,,,,,Flow,,Clean,Lip Slide
Men Final - Sao Paulo 2019 - Park skateboarding,3629.601033,1,Quintas Trick,15,,,Outstanding,,,,Aggressive,85,,,,
Men Final - Sao Paulo 2019 - Park skateboarding,4382.523678,5.992277778,Quintas Trick,16,5ft,FS,,Love Seat,,"Final, Run 2",,,Aggressive,"Drop In, Vert Wall",Clean,"Lip Slide, Smith, Combo"
Men Final - Sao Paulo 2019 - Park skateboarding,4387.515956,3.234911111,Quintas Trick,17,6ft+,FS,,"Hip Transfer, Hip",Feature Combo,,,,Aggressive,,Benchmark,Stalefish
Men Final - Sao Paulo 2019 - Park skateboarding,4389.750867,2.884544444,Quintas Trick,18,4ft,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Tailslide
